n,expr,real,imag,status
7,(i^((i^i)^((i^i)^(i^i)))),0.874788175293078250148235050183810827205728554971879569516119850761995775144471855638986816324902529056175325079380070423007510146674805116852286026772171487359392864348827063147028656827267283052612958638303558368924864768626801552872115268786731414532576123012573122899348822372824166284926753791701,0.484505571038565664659696751718821621825398366726563096043948709199658179228878311565429403376888143009041301083913279497577005499541901314879704900823079355036205750291393639043679875682025348794131349682537722065919311691514234987468074000894671211542899450743963586268013616378065446666847154124738,ok
7,(i^((i^(i^((i^i)^i)))^i)),0.904851247617391699082875762371542019175953934909690264272466320522117354097066767565516737781055248616152010793700778311132936693676608724532745427949468143827016143489780335937814980855407394019285538949294636445450889353214303008810930308891032621409031599554174594430554181174174773159068999521933,0.425727870458641329734059741857400977895861531976307693658584933921831967843721066492355061937271842710395349591958687749429620212894362505130100982225224735768770839817648061141228794965928615675581855559595061540958232992539681030142302845040455424997918532593303815773681563836875153881861394571411,ok
7,(i^(i^((i^i)^((i^i)^i)))),0.947158998072378380653475352018193333503906133903149363671368117944692927930048808452626268462649022374953596155627807952960619984455397606445787446602976133057694295301779033589745937108536066190236708705006909167352481720869720194713047721538236537655144959765537924815474755070000729457876955651154,0.320764449979308534660116845874863140102367020681276799829657168740755222159363001813086339727527595651797935960847444987239448695928290543713471003309216763838601938271316718296500616668649718164573128948238421063601026767872255524231540771450051307085297646475181539871885669122882739426686508455173,ok
7,((i^(i^((i^i)^i)))^(i^i)),0.965183998318963632714887092036556305845414966177916154348782310220926519054698792300576747273244392682815917714112567408954784300196045753391159654618422488432081629360416678053469544153994468256053691483577685775892886386916536502684319668388821582263899802725429367687958835637490254632588580704468,0.26157188187765673414885184617305911332795616308333980290860404940108445742979979563900970261680644413035980019190214982708466374725617511082643897184199093612009064522972078970054270653288389337952715920690231878935892705063348418848876765991447228609289232280195002065182251201697787709370354826412,ok
7,((i^(i^i))^((i^i)^(i^i))),0.972381623765367241883193042455706362858167767717431277663627771844133667898254624248927592154889012021276667764680270166016055186759085271394608820195242756528169076533440045406622112230252772849303626467934154643369347745921337329069597268493183753953775203664597339051180887481776578844974695096985,0.233396610436886569424717557846362896942093851779730553084162669407529861840697433703687846680892268683706081641334950054100614409700172420433904248817231122047973185076498036628958837391297493136552070538216979738135593433994057402353293833506461756857513987545026979107913909721122842260095412255228,ok
7,((((i^i)^i)^(i^i))^(i^i)),0.997697019371103038162541073112872897979980984174143215454456986445451253208064356689413004322384916658563302422372401372413586146488501030721768880318818293799738747040328368606464767254806570777481055068175323703576460631626031587164697782747461535143094028861987390324324291080072119828834486249213,-0.0678281470926108155400798409838927817071719670461031520914710757056116771470241946108410484681127527145083133892984748628877122597755298108100494844697214768220809299302787014074581135369957917238656758414881494707093864806436501945338329232237730959188963536422567336566448405909900044263005967852413,ok
7,(((i^(i^i))^(i^i))^(i^i)),0.999900442612767208788677250151736348780956145132787262223982219327239136333100498330156932175989787850404803804657208426314251980182809681265078437011230634178347484121273900308562723849490544478344190040944466770068376332978224448934098212794508517931150220038385172972498642602589236455250401584779,0.0141104522532847898335867989259983705881589385247793005101578200179878095972046574957990680068951470924138145972397714422677785122918936445495653326641231993789373866623134164012343008022945424133001258775851750401007012902166301738370025477081719357925246424122758675041884807316650794314777104432424,ok
7,(i^((i^i)^(i^((i^i)^i)))),0.999999662784021623884051382898933062734173551998105764225135767308189550584086681445439085195748438997916356073621628274443657710464913014946483848470529326760801862184363724972582203767984487743734500691951475634679060538272930796403971689688458706929398850647255808249644162436226140064694558428491,0.000821237994151278795468282857981131512528815689176600334709939016082775449428914271154502659781658995139031993655782465086193846864042789899207424182244135938474100605670325442117463082149666040223260284164472982118788611830755073946827548581838811940586682281359866273862005215483047754835555151473335,ok
7,(i^((i^i)^(i^(i^(i^i))))),2.14358739404499569741284908030002130636203073608013485695779509735652563234864430783048707826690374412881023526415092468500009966416707990602496095107115576280545679445741565329160109269523640239970189546990179351531287441157822375598530544747266706203696193677994938680366025666402138293459103746609,2.43773876920276954257967399118476344609229891175669322138684637097340898280343442766034119476470192789028500980415644511124810775713526479693866607027663753735348868161787840566000206081351840081060236523151030932877911384937523159576197681844670343730646465749827195023128699448609066414160885614996,ok
7,(((i^i)^i)^(i^(i^(i^i)))),2.56691191855586818187383447899812129255205040126945081200585664129069153287415899938838453049488361751679445512649064751199880465102503377679043512903297596770862135301443520096296532691073009707116116699415573454856247983238887877871596232736569036918002156907409772503844873901300784305141743872084,-0.202394561921761307512181300246183741443284697823608839477619555591056976593939422195905528803303644115758277170006321136557695782146614814427164124859229025421440244544104505073917946104825042379799398194313997345504161808454718354811594935009023506057112635811803299488148528916102279075134759045856,ok
